scheduler,benchmark,trial,bogo_ops,real_time,usr_time,sys_time,bogo_ops_per_sec_real,bogo_ops_per_sec_cpu,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,seconds_user,seconds_sys
EEVDF,cpu,1,85778,120.04,469.25,0.68,714.58,182.53,470004.23,55649,118,2574,1126468103056,2337995611173,400834082253,4855823640,469.265165,0.691115
EEVDF,cpu,2,85798,120.01,469.27,0.74,714.9,182.55,470074.76,52998,114,2571,1126662100253,2338900633670,401074741667,4822897300,469.283962,0.749202
EEVDF,cpu,3,85843,120.05,469.52,0.67,715.05,182.57,470257.39,52065,111,2570,1127097845078,2340420290016,401262575422,4829137386,469.534102,0.679016
EEVDF,vm,1,1985122,120.0,429.58,7.84,16542.03,4538.23,437683.29,42715,215,327923,1043993051441,191214147527,36739238105,19328001,429.597098,7.850596
EEVDF,vm,2,1982637,120.0,429.31,7.82,16521.3,4535.58,437383.18,42665,255,348390,1043451671681,191052223906,36695592671,19629231,429.329038,7.827021
EEVDF,vm,3,1985149,120.01,429.31,7.87,16542.19,4540.79,437449.23,44411,216,336114,1043574163238,190845872214,36704336866,19414137,429.326161,7.881918
EEVDF,io,1,2403781,120.0,5.18,185.26,20031.49,12622.1,184856.71,15465507,1449,2107,345753728040,318146932897,63199679907,990105643,5.196993,185.271176
EEVDF,io,2,2362434,120.0,5.34,186.04,19686.94,12343.94,187905.86,15387464,2228,2099,352991944292,319996968829,63594263619,1140664264,5.356931,186.055086
EEVDF,io,3,2351873,120.0,4.87,186.3,19598.64,12302.31,187781.03,15311330,2382,2107,352969630156,318699528552,63339007036,1161542421,4.88737,186.313227
EEVDF,matrix,1,1908382,120.0,469.61,0.62,15903.18,4058.41,470306.92,53378,78,2118,1127249286175,3927786025558,336789929827,64993426,469.633192,0.622574
EEVDF,matrix,2,1904476,120.0,469.52,0.68,15870.63,4050.32,470274.7,53467,94,2109,1125309157215,3919718103403,336081768061,64275523,469.532454,0.696843
EEVDF,matrix,3,1891264,120.0,469.4,0.67,15760.53,4023.33,470155.59,53350,109,2114,1117349249152,3892650789713,333778393136,64415322,469.418782,0.683668
scx_simple,cpu,1,85790,120.04,469.27,0.66,714.71,182.56,469999.47,52033,126,2570,1126281199821,2338364552152,400887207664,4831249129,469.28931,0.66304
scx_simple,cpu,2,85813,120.03,469.2,0.69,714.9,182.62,469970.71,53582,116,2571,1126385360828,2338564842543,400999653554,4822790774,469.221514,0.69814
scx_simple,cpu,3,85793,120.01,469.04,0.82,714.86,182.59,469936.96,52761,121,2571,1126298746032,2338798438735,401027234895,4826572943,469.057118,0.832604
scx_bpfland,cpu,1,85766,120.05,469.51,0.61,714.44,182.43,470190.76,52294,108,2574,1126728183650,2337881759269,400828904721,4826173467,469.537592,0.610706
scx_bpfland,cpu,2,85797,120.01,469.25,0.61,714.93,182.6,469943.23,53131,98,2572,1126300152262,2338333372343,400946606720,4827031740,469.274491,0.621981
scx_bpfland,cpu,3,85871,120.05,469.54,0.65,715.32,182.63,470261.98,53178,101,2571,1127113070559,2340092883491,401205724269,4827310849,469.559523,0.659217
scx_rlfifo,cpu,1,85755,120.02,469.55,0.57,714.48,182.41,470192.25,52953,80,2570,1126757752691,2338281138682,400924848561,4825164234,469.569548,0.579317
scx_rlfifo,cpu,2,84504,120.05,469.23,0.76,703.91,179.8,470074.92,53070,107,2570,1126649032770,2302677630510,394824192566,5616662480,469.243416,0.779746
scx_rlfifo,cpu,3,84451,120.06,469.34,0.62,703.4,179.7,470037.23,54020,139,2571,1126548601960,2302549878306,394836102301,5600313488,469.352527,0.635496
